PLAYER,AGE,TEAM,DATE,TYPE,METHOD,EXTENSION,LENGTH,VALUE,AAV,PG,SG,SF,PF,C
Robert Covington,31,LAC,2022-05-07,Veteran Extension,Bird Exception,1,2.0,24000000.0,12000000.0,0,0,1,1,0
Trent Forrest,23,UTA,2022-04-10,Veteran Contract,Minimum Salary Exception,0,1.0,8558.0,8558.0,1,1,0,0,0
Devin Cannady,25,ORL,2022-04-10,Veteran Contract,MLE,0,2.5,3754775.0,1251592.0,1,0,0,0,0
Juwan Morgan,24,BOS,2022-04-09,Veteran Contract,Minimum Salary Exception,0,1.5,1834863.0,917432.0,0,0,0,1,0
Moses Brown,22,CLE,2022-04-09,Veteran Contract,Minimum Salary Exception,0,1.0,19186.0,19186.0,0,0,0,0,1
Rayjon Tucker,24,MIL,2022-04-08,Veteran Contract,MLE,0,3.0,3812638.0,1270879.0,0,1,0,0,0
Wenyen Gabriel,25,LAL,2022-04-08,Veteran Contract,Minimum Salary Exception,0,1.5,1908534.0,954267.0,0,0,0,1,1
Greg Monroe,31,MIN,2022-04-07,Veteran Contract,Minimum Salary Exception,0,1.0,55208.0,55208.0,0,0,0,1,1
Luca Vildoza,26,MIL,2022-04-06,Veteran Contract,Minimum Salary Exception,0,2.0,1795427.0,897714.0,1,1,0,0,0
Carsen Edwards,24,DET,2022-04-03,Veteran Contract,Minimum Salary Exception,0,1.5,1892421.0,946211.0,0,1,0,0,0
Amir Coffey,24,LAC,2022-03-26,Veteran Contract,Minimum Salary Exception,0,1.0,153488.0,153488.0,0,1,0,0,0
Armoni Brooks,23,TOR,2022-03-26,Veteran Contract,MLE,0,2.0,2002638.0,1001319.0,1,1,0,0,0
Isaiah Thomas,33,CHA,2022-03-22,Veteran Contract,Minimum Salary Exception,0,1.0,303643.0,303643.0,1,1,0,0,0
Malik Fitts,24,BOS,2022-03-15,Veteran Contract,Minimum Salary Exception,0,2.0,1983700.0,991850.0,0,0,1,1,0
Haywood Highsmith,25,MIA,2022-03-08,Veteran Contract,MLE,0,3.0,3945742.0,1315247.0,0,0,1,0,0
Devontae Cacok,25,SAS,2022-03-04,Veteran Contract,Minimum Salary Exception,0,1.0,364533.0,364533.0,0,0,0,1,1
Nik Stauskas,28,BOS,2022-03-04,Veteran Contract,Minimum Salary Exception,0,2.0,2617456.0,1308728.0,0,1,0,0,0
DeAndre Jordan,33,PHI,2022-03-03,Veteran Contract,Minimum Salary Exception,0,1.0,592103.0,592103.0,0,0,0,0,1
D.J. Augustin,34,LAL,2022-03-01,Veteran Contract,Minimum Salary Exception,0,1.0,622467.0,622467.0,1,0,0,0,0
Tomas Satoransky,30,WAS,2022-02-28,Veteran Contract,Minimum Salary Exception,0,1.0,468119.0,468119.0,1,1,0,0,0
DeMarcus Cousins,31,DEN,2022-02-25,Veteran Contract,Minimum Salary Exception,0,1.0,683196.0,683196.0,0,0,0,0,1
Jevon Carter,26,MIL,2022-02-24,Veteran Contract,Minimum Salary Exception,0,1.0,457149.0,457149.0,1,0,0,0,0
Goran Dragic,35,BKN,2022-02-22,Veteran Contract,Minimum Salary Exception,0,1.0,728742.0,728742.0,1,1,0,0,0
Tristan Thompson,30,CHI,2022-02-19,Veteran Contract,Biannual Exception,0,1.0,1000000.0,1000000.0,0,0,0,1,1
DeAndre' Bembry,27,MIL,2022-02-16,Veteran Contract,Minimum Salary Exception,0,1.0,601867.0,601867.0,0,1,1,0,0
Caleb Martin,26,MIA,2022-02-15,Veteran Contract,Minimum Salary Exception,0,1.0,527615.0,527615.0,0,0,1,0,0
Patrick Beverley,33,MIN,2022-02-15,Veteran Extension,Bird Exception,1,1.0,13000000.0,13000000.0,1,1,0,0,0
Ryan Arcidiacono,27,NYK,2022-02-13,Veteran Contract,Minimum Salary Exception,0,1.0,586136.0,586136.0,1,0,0,0,0
Luke Kornet,26,BOS,2022-02-11,Veteran Contract,Minimum Salary Exception,0,1.0,606702.0,606702.0,0,0,0,1,1
Danuel House Jr.,28,UTA,2022-02-11,Veteran Contract,Minimum Salary Exception,0,1.0,657596.0,657596.0,0,1,1,0,0
Lance Stephenson,31,IND,2022-02-03,Veteran Contract,Minimum Salary Exception,0,1.0,924730.0,924730.0,0,1,1,0,0
Stanley Johnson,25,LAL,2022-01-27,Veteran Contract,Minimum Salary Exception,0,1.5,3240137.0,1620069.0,0,0,1,1,0
